Title,Author,Avg Ratings,Total Ratings,Score,Number of People Voted,Genre,Date Published,Number of Reviews
"A Child Called ""It"" (Dave Pelzer, #1)",Dave Pelzer,4.13,448039,"34,178",409,Nonfiction,1995-01-01,19297
"A Great and Terrible Beauty (Gemma Doyle, #1)",Libba Bray,3.8,224450,"129,500","1,434",Fantasy,2003-12-09,10662
A Little Princess,Frances Hodgson Burnett,4.23,315796,"144,937","1,637",Classics,1905-01-01,10603
A Separate Peace,John Knowles,3.6,225926,"34,840",407,Classics,1959-01-01,10163
A Tree Grows in Brooklyn,Betty  Smith,4.3,485610,"23,660",289,Fiction,1943-08-18,29386
"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,3.98,1240641,"396,796","4,192",Fantasy,1962-01-01,41043
"Alanna: The First Adventure (Song of the Lioness, #1)",Tamora Pierce,4.27,133739,"112,093","1,248",Fantasy,1983-09-01,6382
Alice in Wonderland,Jane Carruth,4.03,394023,"21,835",290,Classics,1865-01-01,5643
Along for the Ride,Sarah Dessen,4.03,209869,"25,415",315,Young Adult,2009-06-16,8896
"Among the Hidden (Shadow Children, #1)",Margaret Peterson Haddix,3.99,128191,"84,280",975,Young Adult,1998-09-01,7235
An Abundance of Katherines,John Green,3.51,540008,"39,291",463,Young Adult,2006-09-21,28492
"Angelfall (Penryn & the End of Days, #1)",Susan Ee,4.11,194691,"23,776",272,Fantasy,2011-05-21,17790
"Angus, Thongs and Full-Frontal Snogging (Confessions of Georgia Nicolson, #1)",Louise Rennison,3.76,134624,"18,879",233,Young Adult,1999-06-24,4910
Animal Farm,George Orwell,4.0,4164756,"58,102",698,Fiction,1945-08-17,109137
"Anna and the French Kiss (Anna and the French Kiss, #1)",Stephanie Perkins,3.96,459291,"37,759",436,Romance,2010-12-02,36377
"Anne of Green Gables (Anne of Green Gables, #1)",L.M. Montgomery,4.32,1042676,"248,115","2,741",Classics,1908-01-01,42843
"Are You There God? It’s Me, Margaret",Judy Blume,3.94,247958,"141,651","1,559",Young Adult,1970-01-01,12803
"Artemis Fowl (Artemis Fowl, #1)",Eoin Colfer,3.86,554818,"231,672","2,532",Fantasy,2001-04-26,14028
"Beastly (Beastly, #1)",Alex Flinn,3.82,177671,"37,790",460,Fantasy,2007-10-02,9397
"Beautiful Creatures (Caster Chronicles, #1)",Kami Garcia,3.77,611359,"128,742","1,455",Fantasy,2009-12-01,23292
Beauty: A Retelling of the Story of Beauty and the Beast,Robin McKinley,4.05,81428,"31,465",375,Fantasy,1978-10-25,5934
Because of Winn-Dixie,Kate DiCamillo,4.1,267802,"121,621","1,412",Fiction,2000-03-01,11877
Before I Fall,Lauren Oliver,3.88,342154,"45,514",529,Young Adult,2010-02-14,22131
Black Beauty,Anna Sewell,4.0,288500,"114,461","1,332",Classics,1877-11-24,7234
"Bloodlines (Bloodlines, #1)",Richelle Mead,4.2,188695,"33,200",387,Young Adult,2011-08-23,9060
"Blue Bloods (Blue Bloods, #1)",Melissa de la Cruz,3.7,142926,"31,045",378,Young Adult,2006-03-27,5274
Book of a Thousand Days,Shannon Hale,3.97,55383,"30,032",351,Fantasy,2007-09-01,6702
Brainwalker,Robyn Mundell,4.31,9916,"44,879",484,Fantasy,2016-10-01,248
Bridge to Terabithia,Katherine Paterson,4.05,567873,"331,668","3,586",Fiction,1977-10-21,17468
"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,4.16,886106,"250,944","2,768",Fiction,1964-01-17,17542
Charlotte’s Web,E.B. White,4.2,1939651,"290,926","3,208",Fiction,1952-10-15,25307
"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,4.13,969431,"173,057","1,884",Fantasy,2012-01-03,72760
"City of Bones (The Mortal Instruments, #1)",Cassandra Clare,4.07,2083851,"911,118","9,452",Fantasy,2007-03-27,78556
"Clockwork Angel (The Infernal Devices, #1)",Cassandra Clare,4.31,853895,"368,800","3,955",Fantasy,2010-08-31,44262
Coraline,Neil Gaiman,4.13,741353,"181,571","2,012",Fantasy,2002-07-02,41109
"Daughter of Smoke & Bone (Daughter of Smoke & Bone, #1)",Laini Taylor,3.99,377878,"39,466",453,Fantasy,2011-09-27,34934
"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,4.16,92608,"19,903",248,Fantasy,1990-09-18,4527
"Delirium (Delirium, #1)",Lauren Oliver,3.95,473398,"129,130","1,443",Young Adult,2011-02-03,29064
"Diary of a Wimpy Kid (Diary of a Wimpy Kid, #1)",Jeff Kinney,3.98,731220,"34,569",413,Fiction,2007-04-01,22675
"Divergent (Divergent, #1)",Veronica Roth,4.14,4181539,"870,810","8,988",Young Adult,2011-04-25,123875
Eleanor & Park,Rainbow Rowell,3.93,1216922,"41,109",466,Young Adult,2012-04-12,79608
"Ella Enchanted (Ella Enchanted, #1)",Gail Carson Levine,4.01,418600,"338,046","3,606",Fantasy,1997-04-25,12848
Elsewhere,Gabrielle Zevin,3.9,66574,"19,971",242,Young Adult,2005-09-09,6947
"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,4.31,1423487,"258,207","2,804",Science Fiction,1985-01-15,51537
"Eragon (The Inheritance Cycle, #1)",Christopher Paolini,3.96,1859292,"419,000","4,468",Fantasy,2002-06-01,30280
"Evermore (The Immortals, #1)",Alyson Noel,3.59,295038,"84,766",977,Young Adult,2009-02-03,10680
"Fablehaven (Fablehaven, #1)",Brandon Mull,4.13,171439,"97,063","1,095",Fantasy,2006-06-07,12944
"Fallen (Fallen, #1)",Lauren Kate,3.72,602194,"138,136","1,553",Fantasy,2009-12-08,22410
Fangirl,Rainbow Rowell,3.94,763552,"40,691",467,Young Adult,2013-09-10,59440
Flipped,Wendelin Van Draanen,3.99,121528,"94,123","1,071",Young Adult,2001-10-09,10389
Flowers for Algernon,Daniel Keyes,4.22,727334,"39,715",475,Fiction,1966-04-01,38665
"Flowers in the Attic (Dollanganger, #1)",V.C. Andrews,3.85,225740,"86,389",885,Fiction,1979-01-01,13701
Forever...,Judy Blume,3.62,64485,"25,280",296,Young Adult,1975-01-01,4994
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.16,214955,"100,029","1,167",Fiction,1967-01-01,9471
"Glass Houses (The Morganville Vampires, #1)",Rachel Caine,3.92,102397,"21,777",272,Vampires,2006-10-03,5368
Go Ask Alice,Beatrice Sparks,3.74,282752,"98,027","1,111",Young Adult,1971-01-01,13885
"Gone (Gone, #1)",Michael  Grant,3.87,206120,"43,567",504,Young Adult,2008-06-24,12601
"Graceling (Graceling Realm, #1)",Kristin Cashore,4.07,471891,"265,035","2,874",Fantasy,2008-10-01,27804
"Gregor the Overlander (Underland Chronicles, #1)",Suzanne Collins,4.04,109191,"24,989",296,Fantasy,2003-09-01,7819
"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,10714400,"1,007,280","11,796",Fantasy,1997-06-26,176666
"Harry Potter and the Sorcerer’s Stone (Harry Potter, #1)",J.K. Rowling,4.47,10714400,"1,611,281","14,722",Fantasy,1997-06-26,176666
"Hatchet (Brian's Saga, #1)",Gary Paulsen,3.78,420607,"163,854","1,829",Young Adult,1987-01-01,19402
"Heidi (Heidi, #1-2)",Johanna Spyri,4.03,205459,"19,008",263,Classics,1880-01-01,6732
"Holes (Holes, #1)",Louis Sachar,4.01,1285076,"559,763","5,830",Young Adult,1998-08-20,28306
"Howl’s Moving Castle (Howl’s Moving Castle, #1)",Diana Wynne Jones,4.29,401277,"140,249","1,564",Fantasy,1986-04-01,34469
"Hush, Hush (Hush, Hush, #1)",Becca Fitzpatrick,3.92,725585,"250,584","2,703",Fantasy,2009-10-13,30972
"I Am Number Four (Lorien Legacies, #1)",Pittacus Lore,3.93,347011,"43,794",509,Young Adult,2010-08-03,17188
I Am the Messenger,Markus Zusak,4.03,165278,"23,629",277,Young Adult,2002-01-10,16524
"I'd Tell You I Love You, But Then I'd Have to Kill You (Gallagher Girls, #1)",Ally Carter,3.84,191394,"134,106","1,496",,2006-04-25,8651
"If I Stay (If I Stay, #1)",Gayle Forman,3.92,940724,"43,603",515,Young Adult,2009-04-02,42352
"Inkheart (Inkworld, #1)",Cornelia Funke,3.92,433867,"255,977","2,824",Fantasy,2003-09-23,15026
Island of the Blue Dolphins,Scott O'Dell,3.87,341225,"204,888","2,235",Fiction,1960-09-09,10417
It's Kind of a Funny Story,Ned Vizzini,4.08,257378,"18,411",220,Young Adult,2006-03-21,13936
James and the Giant Peach,Roald Dahl,4.03,494430,"37,484",472,Childrens,1961-11-01,9451
